"key";"tweet_id";"tweet_text";"user_id";"date";"is_rtw";"rtw_user_id";"rtw_tweet_id";"is_reply";"reply_tweet_id";"reply_user_id";"lang";"geolocation";"place";"topic"
"668455";"664467933087850496";"RT @XFactor_Italia: Directioner, perdonate @mikasounds per aver scelto @NaughtyBoyMusic? #XF9";"3462014841";"Wed Nov 11 16:41:15 CET 2015";"1";"135112407";"662368227188699136";"0";"-1";"-1";"en";\N;\N;"xf9"
"668454";"664467855992188928";"RT @Fedez: Stiamo arrivando! #XF9 https://t.co/jgxdeznLj3";"268685862";"Wed Nov 11 16:40:56 CET 2015";"1";"267138741";"662359296064274433";"0";"-1";"-1";"it";\N;\N;"xf9"
"668453";"664467845913427968";"#XF9 https://t.co/Eirw67x6RT";"1464718795";"Wed Nov 11 16:40:54 CET 2015";"0";"0";"0";"0";"-1";"-1";"so";\N;\N;"xf9"
"668452";"664467818021330944";"RT @iPantellas: Quando la prof. manca il giorno della verifica. @Fedez #XF9 https://t.co/aLghTc6mo9";"3305466365";"Wed Nov 11 16:40:47 CET 2015";"1";"97185399";"659862452025315328";"0";"-1";"-1";"it";\N;\N;"xf9"
"668451";"664467756297936896";"RT @XFactor_Italia: .@WindItalia ha chiesto qual  il vostro brano preferito del 3Live. Ascoltate Lay me down in questa versione #XF9ht";"423247427";"Wed Nov 11 16:40:32 CET 2015";"1";"135112407";"664464754400821248";"0";"-1";"-1";"it";\N;\N;"xf9"
"668450";"664467706373152769";"No. Scusateci https://t.co/yftlHpWkLo";"1183456039";"Wed Nov 11 16:40:21 CET 2015";"0";"0";"0";"0";"-1";"-1";"it";\N;\N;"xf9"
"668449";"664467699821584385";"RT @XFactor_Italia: Avete fatto una domanda agli Under Uomini con #AskFactor? Vi rispondono qui: https://t.co/8AwuKDRdaR! #XF9";"2754916108";"Wed Nov 11 16:40:19 CET 2015";"1";"135112407";"664464817239912448";"0";"-1";"-1";"it";\N;\N;"xf9"
"668448";"664467695283388420";"RT @XFactor_Italia: .@WindItalia ha chiesto qual  il vostro brano preferito del 3Live. Ascoltate Lay me down in questa versione #XF9ht";"2754916108";"Wed Nov 11 16:40:18 CET 2015";"1";"135112407";"664464754400821248";"0";"-1";"-1";"it";\N;\N;"xf9"
"668447";"664467636898701312";"RT @eZa_Bel_: La thrapie de l'amour ... Amira & Mlachi incarnation physique de l'amour :)  https://t.co/uTfOsBRsLJ";"3375424629";"Wed Nov 11 16:40:04 CET 2015";"1";"2414163133";"664467468258267137";"0";"-1";"-1";"fr";\N;\N;"xf9"
"668446";"664467578727882752";"RT @XFactor_Italia: .@WindItalia ha chiesto qual  il vostro brano preferito del 3Live. Ascoltate Lay me down in questa versione #XF9ht";"1912507634";"Wed Nov 11 16:39:50 CET 2015";"1";"135112407";"664464754400821248";"0";"-1";"-1";"it";\N;\N;"xf9"
